@relation pep-seq
@attribute R NUMERIC
@attribute H NUMERIC
@attribute D NUMERIC
@attribute S NUMERIC
@attribute N NUMERIC
@attribute C NUMERIC
@attribute G NUMERIC
@attribute V NUMERIC
@attribute I NUMERIC
@attribute L NUMERIC
@attribute F NUMERIC
@attribute Y NUMERIC
@attribute toxicity {anti-toxic, neutral, toxic}
@data
1,1,1,0,0,1,1,1,0,0,1,1,toxic
0,1,0,0,0,1,0,1,1,1,3,0,toxic
0,0,0,0,0,0,0,1,0,2,3,2,toxic
0,0,1,0,0,0,0,0,1,1,3,2,toxic
0,0,0,1,0,1,0,0,2,0,2,2,toxic
0,0,0,0,0,2,0,1,0,0,5,0,toxic
0,0,0,0,0,4,1,0,1,0,1,1,toxic
0,1,0,0,0,3,0,0,1,0,3,0,toxic
1,0,0,0,0,4,0,0,0,1,0,2,toxic
1,0,0,1,0,0,0,0,3,0,2,1,toxic
1,0,0,0,0,2,0,0,1,0,2,2,toxic
0,0,0,0,0,3,1,1,1,1,1,0,toxic
0,0,0,0,0,3,0,0,0,0,3,2,toxic
1,0,0,0,0,1,0,1,0,2,2,1,toxic
1,0,0,0,0,2,0,1,3,1,0,0,toxic
0,1,0,0,1,0,0,0,0,0,6,0,toxic
0,0,0,0,0,2,0,0,1,1,4,0,toxic
1,0,0,0,0,2,0,1,0,1,2,1,toxic
0,1,0,0,0,2,0,2,0,2,1,0,toxic
2,0,0,0,0,1,1,1,0,0,0,3,toxic
0,1,0,0,0,3,0,0,1,1,1,1,toxic
0,0,0,0,0,2,0,2,1,0,2,1,toxic
1,0,0,0,0,0,1,1,0,0,3,2,toxic
0,0,0,1,0,1,0,0,1,2,2,1,toxic
0,0,0,0,0,2,0,0,0,0,5,1,toxic
0,0,1,0,0,1,1,2,1,0,2,0,toxic
0,0,0,0,0,2,1,0,2,0,3,0,toxic
1,0,0,0,0,1,0,2,2,0,0,2,toxic
1,0,0,1,1,0,1,1,0,0,1,2,toxic
0,1,0,0,0,0,0,2,1,1,3,0,toxic
1,1,0,0,0,0,0,2,0,2,2,0,toxic
0,0,0,0,0,2,0,3,0,1,2,0,toxic
0,1,0,0,1,0,0,3,1,0,2,0,toxic
1,0,0,0,0,1,0,2,0,1,2,1,toxic
0,0,1,0,0,0,0,3,1,1,1,1,toxic
0,0,0,0,0,2,1,1,0,1,3,0,toxic
0,1,0,1,0,0,0,1,1,0,2,2,toxic
0,2,0,0,0,2,0,0,0,0,1,3,toxic
0,0,0,0,0,2,0,1,2,0,2,1,toxic
0,0,0,0,0,3,0,3,0,0,2,0,toxic
1,1,0,0,0,1,0,1,0,1,3,0,toxic
0,0,0,0,1,1,0,1,3,0,2,0,toxic
1,0,0,0,0,2,0,1,2,1,0,1,toxic
0,0,0,2,0,1,0,0,1,1,3,0,toxic
0,0,0,0,0,3,0,1,1,0,3,0,toxic
0,0,0,0,0,1,0,1,0,1,1,4,toxic
0,1,0,0,0,2,0,2,0,1,1,1,toxic
0,0,0,0,0,1,0,1,0,0,3,3,toxic
1,0,0,0,0,3,1,0,2,0,1,0,toxic
0,0,0,1,0,2,1,0,0,4,0,0,toxic
0,1,0,0,0,0,0,2,0,3,2,0,toxic
0,1,0,0,0,3,0,1,0,0,2,1,toxic
0,0,0,0,2,1,1,0,1,1,1,1,toxic
1,0,0,0,0,0,1,2,0,2,1,1,toxic
1,0,0,0,0,1,1,0,2,1,2,0,toxic
0,0,0,1,0,1,1,0,0,1,2,2,toxic
0,0,0,2,0,2,0,0,1,0,2,1,toxic
0,0,0,1,0,2,0,1,1,0,2,1,toxic
0,0,0,0,0,2,1,0,0,1,2,2,toxic
2,0,0,0,0,3,0,0,0,0,3,0,toxic
1,0,0,0,0,1,1,2,1,1,1,0,toxic
1,0,1,0,0,3,0,1,0,1,0,1,toxic
0,1,1,0,0,1,0,1,1,1,1,1,toxic
2,1,0,0,0,1,0,0,1,1,0,2,toxic
0,0,0,0,0,2,1,0,2,0,2,1,toxic
0,0,0,0,0,1,1,2,1,2,1,0,toxic
0,0,0,0,0,2,1,1,0,0,3,1,toxic
0,0,0,1,0,2,0,2,0,0,2,1,toxic
1,1,0,0,0,0,1,1,2,1,0,1,toxic
0,0,0,0,0,2,0,0,2,0,3,1,toxic
1,1,0,0,0,0,0,2,0,0,3,1,toxic
1,2,0,0,0,0,0,1,0,1,2,1,toxic
0,0,0,0,0,2,1,0,0,1,1,3,toxic
0,0,1,1,0,0,0,0,0,1,3,2,toxic
0,1,0,1,0,1,0,2,2,0,0,1,toxic
0,1,0,0,1,1,0,0,2,2,0,1,toxic
0,0,0,1,0,1,0,0,1,2,3,0,toxic
0,1,0,0,0,1,0,1,1,0,3,1,toxic
0,0,0,0,0,2,2,0,2,0,2,0,toxic
0,0,0,0,0,1,0,2,1,2,2,0,toxic
1,0,0,0,0,0,1,0,1,4,1,0,toxic
0,0,0,1,0,1,0,0,1,2,2,1,toxic
0,0,0,0,0,1,0,3,1,0,1,2,toxic
0,1,0,0,0,1,0,1,3,0,1,1,toxic
0,0,0,2,0,1,0,0,0,0,4,1,toxic
1,0,0,1,0,1,0,2,1,0,2,0,toxic
0,0,0,0,0,2,1,0,0,1,3,1,toxic
0,0,0,0,0,2,0,2,1,1,1,1,toxic
1,0,0,0,0,0,0,1,0,2,3,1,toxic
0,0,0,1,0,1,0,1,1,0,3,1,toxic
2,0,0,0,0,1,0,2,1,0,1,1,toxic
0,0,0,0,1,1,0,1,1,1,2,1,toxic
0,0,0,0,0,0,1,1,2,1,2,1,toxic
1,0,0,0,0,1,0,2,0,1,1,2,toxic
0,0,0,0,0,1,0,1,0,1,3,2,toxic
1,0,0,1,0,0,1,2,1,1,0,1,toxic
0,2,0,0,0,2,2,0,0,0,0,2,toxic
0,0,0,0,0,2,0,3,0,1,2,0,toxic
1,1,0,0,0,2,0,1,1,0,1,1,toxic
1,1,0,0,0,1,0,0,1,2,2,0,toxic
0,0,0,0,0,2,1,1,0,0,3,1,toxic
0,0,0,0,0,3,0,1,1,0,3,0,toxic
1,1,0,0,0,1,0,0,1,0,3,1,toxic
0,0,0,2,0,1,0,0,0,1,4,0,toxic
0,0,0,1,0,1,0,0,2,0,2,2,toxic
0,0,0,1,0,0,0,1,0,1,3,2,toxic
0,0,0,0,0,0,0,1,1,0,4,2,toxic
0,0,0,0,0,1,1,1,1,1,1,2,toxic
0,0,0,0,0,1,1,1,1,1,3,0,toxic
0,0,0,0,0,2,0,0,0,1,1,4,toxic
0,0,0,0,0,1,1,1,0,1,3,1,toxic
0,0,0,0,1,3,1,0,0,0,2,1,toxic
0,0,0,1,0,0,1,1,1,0,3,1,toxic
2,0,0,0,0,1,0,1,0,2,1,1,toxic
0,0,0,0,0,1,0,0,0,1,3,3,toxic
0,0,0,1,0,2,0,2,2,0,1,0,toxic
1,0,0,0,0,1,0,4,0,0,0,2,toxic
0,0,0,0,0,2,1,1,0,0,4,0,toxic
0,0,0,0,0,1,1,0,0,1,3,2,toxic
1,0,0,0,0,0,1,0,1,2,2,1,toxic
0,1,0,0,0,1,1,0,2,0,3,0,toxic
0,0,0,0,0,3,0,0,2,0,1,2,toxic
1,0,0,0,0,1,1,1,3,0,0,1,toxic
0,1,0,0,0,2,0,0,1,0,3,1,toxic
0,0,0,0,0,1,2,0,1,0,3,1,toxic
2,0,0,0,0,1,0,1,0,2,2,0,toxic
2,0,0,0,0,0,0,2,2,0,2,0,toxic
0,0,0,0,0,3,0,2,1,0,2,0,toxic
1,0,0,0,0,0,0,2,1,0,3,1,toxic
1,0,0,0,0,1,1,1,3,0,1,0,toxic
1,0,0,0,0,1,0,0,0,1,4,1,toxic
0,0,0,0,0,2,0,3,0,1,2,0,toxic
1,0,0,1,0,0,0,1,0,2,1,2,toxic
1,0,0,0,0,0,1,1,1,0,3,1,toxic
1,0,0,0,0,1,0,1,1,1,1,2,toxic
0,0,0,1,0,1,0,1,1,2,2,0,toxic
0,0,0,0,1,0,0,2,0,1,3,1,toxic
0,0,0,0,0,1,0,0,2,2,1,2,toxic
0,0,0,0,0,2,1,0,0,0,5,0,toxic
1,0,0,0,0,1,0,2,0,2,2,0,toxic
0,0,0,1,0,1,0,2,1,1,2,0,toxic
0,0,0,0,1,2,0,0,0,3,1,1,toxic
1,0,0,0,0,3,3,0,0,0,1,0,toxic
2,0,0,0,0,1,0,3,0,0,2,0,toxic
2,0,1,0,0,0,1,0,0,0,2,2,toxic
0,0,0,0,0,3,1,2,1,0,1,0,toxic
0,0,0,0,1,2,1,2,1,1,0,0,toxic
0,0,0,1,0,2,0,2,1,1,0,1,toxic
0,0,0,0,1,1,0,3,1,0,2,0,toxic
0,0,1,0,0,0,1,3,0,1,1,1,toxic
0,1,0,0,0,3,0,0,1,0,1,2,toxic
0,0,0,0,1,0,0,3,0,0,3,1,toxic
0,0,1,0,0,4,0,1,1,0,0,1,toxic
0,0,0,0,0,2,1,1,0,2,1,1,toxic
1,0,1,0,0,0,0,4,1,0,0,1,toxic
0,0,1,1,0,0,0,0,1,1,3,1,toxic
0,0,0,1,0,0,1,2,0,2,2,0,toxic
1,1,0,0,0,1,0,1,0,1,0,3,toxic
1,0,0,0,0,1,0,2,2,0,0,2,toxic
0,1,0,1,0,0,0,0,1,0,2,3,toxic
0,0,0,0,0,2,0,0,1,0,4,1,toxic
1,1,0,0,0,0,1,0,0,1,2,2,toxic
0,1,0,0,0,2,0,1,2,0,1,1,toxic
0,1,0,0,0,2,0,1,2,1,1,0,toxic
1,0,0,0,0,2,0,1,1,2,1,0,toxic
0,0,0,0,0,1,0,1,2,1,2,1,toxic
2,0,0,0,0,1,0,1,1,2,1,0,toxic
1,0,0,0,0,2,0,2,0,1,1,1,toxic
0,0,0,1,0,1,0,2,1,1,2,0,toxic
0,1,0,0,0,1,0,2,1,1,1,1,toxic
2,0,0,0,1,0,0,2,1,0,1,1,toxic
0,1,0,0,0,1,1,0,0,0,4,1,toxic
0,0,0,0,0,1,0,3,1,1,2,0,toxic
1,0,0,1,0,1,0,1,2,0,1,1,toxic
0,1,0,1,0,1,0,2,1,0,1,1,toxic
0,0,0,0,0,1,0,0,2,2,2,1,toxic
0,0,0,0,0,3,0,1,0,2,1,1,toxic
0,0,0,0,0,1,1,1,1,0,1,3,toxic
0,0,0,0,0,3,1,0,2,1,1,0,toxic
2,0,0,0,0,1,0,1,0,0,3,1,toxic
0,0,0,0,0,3,1,1,0,1,1,1,toxic
1,0,1,0,0,0,0,3,1,0,1,1,toxic
0,0,0,1,0,1,0,2,0,1,3,0,toxic
1,0,0,0,1,0,0,2,3,0,1,0,toxic
0,0,0,0,0,1,0,3,0,0,3,1,toxic
0,0,0,1,0,2,0,2,1,0,1,1,toxic
0,0,0,1,0,1,0,1,2,0,1,2,toxic
0,0,0,0,0,2,0,1,2,0,1,2,toxic
1,0,0,0,0,1,1,0,0,0,3,2,toxic
0,0,0,0,0,2,0,4,1,0,1,0,toxic
0,1,0,0,0,2,0,1,1,0,1,2,toxic
0,0,0,0,0,2,0,1,1,1,3,0,toxic
1,0,0,0,0,3,0,0,2,0,1,1,toxic
0,0,0,1,0,0,1,0,1,0,4,1,toxic
0,0,1,0,0,1,0,1,1,0,4,0,toxic
1,0,0,0,0,2,0,0,1,0,3,1,toxic
0,0,0,0,1,2,0,1,3,0,1,0,toxic
1,0,0,0,0,3,0,1,0,0,2,1,toxic
0,0,0,0,1,2,0,1,0,1,2,1,toxic
0,0,0,1,0,1,0,1,1,0,2,2,toxic
1,0,0,0,0,2,0,2,0,1,2,0,toxic
0,0,0,0,0,3,1,1,0,1,2,0,toxic
0,0,0,0,0,3,0,0,0,3,1,1,toxic
0,1,0,0,1,1,0,2,0,1,2,0,toxic
0,0,0,0,0,1,1,3,0,0,2,1,toxic
1,0,0,1,0,2,0,2,2,0,0,0,toxic
0,0,0,1,0,2,0,1,0,1,2,1,toxic
0,0,0,0,0,1,0,3,0,2,0,2,toxic
0,1,0,0,0,2,0,0,0,1,3,1,toxic
1,0,0,0,1,1,0,2,2,0,1,0,toxic
1,0,0,0,0,1,0,3,0,0,1,2,toxic
0,0,0,0,0,1,1,1,1,0,3,1,toxic
0,0,0,0,0,0,2,3,0,1,2,0,toxic
0,1,0,0,1,0,0,2,1,1,0,2,toxic
1,0,0,0,0,2,1,0,2,0,2,0,toxic
0,0,0,0,0,1,0,0,0,1,5,1,toxic
0,0,0,0,0,1,0,3,1,0,1,2,toxic
0,0,0,1,0,0,1,0,1,2,3,0,toxic
0,0,0,1,0,0,0,1,1,1,2,2,toxic
0,0,0,1,0,1,1,0,1,0,4,0,toxic
0,1,0,0,0,2,0,2,1,0,2,0,toxic
0,1,0,0,0,1,1,0,2,0,2,1,toxic
1,0,0,0,0,3,0,0,1,2,1,0,toxic
0,1,0,0,0,1,0,1,2,0,1,2,toxic
1,0,0,0,0,1,0,1,0,1,4,0,toxic
1,0,0,1,0,1,0,3,1,0,0,1,toxic
0,0,0,1,0,1,0,3,0,0,2,1,toxic
1,0,0,0,0,0,0,2,1,0,4,0,toxic
1,0,0,0,0,1,1,0,1,2,2,0,toxic
0,0,0,0,0,1,0,4,3,0,0,0,toxic
0,0,1,0,0,1,0,1,1,3,0,1,toxic
0,1,0,0,0,2,0,0,0,1,2,2,toxic
1,0,0,0,0,2,0,2,1,0,2,0,toxic
1,0,0,0,0,0,0,2,0,1,4,0,toxic
1,0,0,0,0,1,0,1,0,1,4,0,toxic
1,0,0,0,0,0,0,1,0,1,4,1,toxic
0,0,0,0,0,2,1,3,0,2,0,0,toxic
1,0,0,0,0,0,0,1,1,1,4,0,toxic
0,0,0,1,0,0,0,1,0,1,5,0,toxic
1,0,0,0,0,2,0,0,1,0,2,2,toxic
0,0,0,0,0,1,0,1,0,1,2,3,toxic
1,0,0,1,0,0,0,1,0,0,1,4,toxic
1,0,0,0,0,0,0,2,1,0,1,3,toxic
0,0,0,0,0,2,1,1,0,0,3,1,toxic
0,0,0,3,1,1,0,0,0,0,1,2,toxic
0,0,0,0,1,3,0,0,1,2,1,0,toxic
0,1,0,0,0,2,0,1,0,0,2,2,toxic
0,0,0,0,1,0,1,2,0,1,2,1,toxic
0,0,0,0,1,1,0,2,0,0,3,1,toxic
0,0,0,0,0,3,0,1,1,1,1,1,toxic
0,0,0,1,0,1,0,2,1,3,0,0,toxic
0,0,0,0,0,0,0,2,3,0,3,0,toxic
0,0,1,0,0,3,0,1,1,0,1,1,toxic
1,0,0,0,0,2,0,1,3,0,1,0,toxic
1,0,0,1,0,0,0,1,0,1,3,1,toxic
1,0,0,0,0,0,1,4,1,1,0,0,toxic
0,1,0,0,0,0,1,2,1,0,2,1,toxic
2,0,0,0,0,2,0,0,2,1,0,1,toxic
0,1,0,0,0,1,0,0,1,1,2,2,toxic
1,0,0,0,0,3,0,1,1,2,0,0,toxic
0,0,0,1,0,1,0,1,3,0,0,2,toxic
1,0,0,0,0,2,1,0,2,0,2,0,toxic
0,0,1,0,0,1,0,0,1,0,4,1,toxic
0,0,0,0,0,0,1,1,2,2,1,1,toxic
0,0,0,0,0,2,1,0,0,3,1,1,toxic
1,0,0,1,1,1,0,0,0,0,4,0,toxic
0,0,0,0,0,1,0,3,0,1,2,1,toxic
0,0,0,0,0,2,1,0,0,0,4,1,toxic
0,0,0,0,0,4,0,2,0,1,1,0,toxic
0,0,0,0,1,0,0,4,1,0,2,0,toxic
0,0,0,0,0,0,1,2,1,0,4,0,toxic
1,0,0,0,0,3,0,2,0,1,0,1,toxic
0,1,0,1,0,2,0,2,0,0,2,0,toxic
0,0,0,1,1,1,0,0,0,1,4,0,toxic
0,1,0,0,0,2,1,0,0,1,2,1,toxic
0,1,0,1,0,0,0,0,3,1,1,1,toxic
0,0,0,0,0,3,0,1,2,0,1,1,toxic
0,1,0,0,0,2,1,0,3,0,1,0,toxic
0,0,1,0,0,2,0,1,2,0,2,0,toxic
1,0,0,0,0,3,1,0,2,0,0,1,toxic
0,0,0,0,0,2,1,2,0,1,1,1,toxic
0,1,0,0,0,2,2,0,2,0,1,0,toxic
0,0,1,0,0,1,0,1,1,0,3,1,toxic
0,0,0,1,0,1,0,1,1,1,3,0,toxic
0,1,0,0,1,0,0,0,0,3,3,0,toxic
0,0,0,0,0,0,1,1,2,1,2,1,toxic
1,0,0,1,0,0,0,2,0,2,1,1,toxic
0,0,0,0,0,0,1,1,2,1,1,2,toxic
0,0,0,0,0,1,0,2,1,2,2,0,toxic
0,0,0,0,0,3,0,3,1,0,1,0,toxic
0,0,0,0,0,2,1,0,0,1,4,0,toxic
0,0,0,1,0,3,0,3,0,0,1,0,toxic
0,0,0,0,0,4,0,2,0,1,0,1,toxic
1,0,0,0,0,2,0,0,0,0,4,1,toxic
0,0,0,0,0,0,0,0,4,2,0,2,toxic
1,1,0,0,0,1,0,1,2,1,1,0,toxic
1,0,0,0,0,0,0,2,2,1,1,1,toxic
0,0,0,0,0,3,0,0,1,0,3,1,toxic
0,0,0,0,0,1,1,2,2,0,1,1,toxic
1,0,0,0,0,2,0,1,1,0,2,1,toxic
0,0,0,0,0,0,0,1,2,1,3,1,toxic
1,0,0,0,0,1,0,0,1,3,1,1,toxic
0,0,0,0,2,2,0,1,2,0,0,1,toxic
1,0,0,0,0,1,0,0,0,1,5,0,toxic
2,0,0,0,0,2,0,0,1,1,1,1,toxic
0,0,0,1,0,2,0,0,2,1,2,0,toxic
1,1,0,0,0,0,0,1,0,2,2,1,toxic
1,0,0,0,0,1,0,2,1,2,0,1,toxic
0,0,0,2,0,0,0,0,3,0,2,1,toxic
0,0,0,0,0,2,0,1,1,2,1,1,toxic
1,0,0,0,0,0,1,0,1,0,3,2,toxic
0,0,1,0,0,1,0,1,2,0,3,0,toxic
0,0,0,0,0,1,0,3,0,1,0,3,toxic
0,1,0,0,0,2,0,0,0,1,3,1,toxic
1,0,0,0,0,0,0,2,0,4,1,0,toxic
0,1,0,0,0,1,1,0,0,0,4,1,toxic
0,0,0,1,0,2,1,1,0,2,0,1,toxic
0,1,1,0,1,1,0,0,0,1,1,2,toxic
0,0,0,1,1,0,0,3,1,0,2,0,toxic
0,0,0,0,1,0,1,0,1,1,4,0,toxic
0,0,0,0,0,0,0,2,1,1,1,3,toxic
0,2,0,0,0,0,1,2,0,0,3,0,toxic
1,0,0,0,0,2,0,1,0,0,3,1,toxic
0,1,0,0,0,1,1,0,0,0,3,2,toxic
0,1,0,0,0,0,1,2,1,1,2,0,toxic
0,0,0,0,1,2,0,0,0,0,5,0,toxic
3,0,0,0,0,1,0,0,0,2,2,0,toxic
0,0,0,1,0,2,0,2,1,0,2,0,toxic
0,1,0,0,0,2,0,0,0,0,5,0,toxic
1,1,0,0,0,1,0,1,1,0,3,0,toxic
0,0,0,1,0,2,0,2,2,0,1,0,toxic
0,0,0,0,0,1,0,1,1,0,4,1,toxic
0,0,0,1,0,2,0,2,0,0,0,3,toxic
0,0,0,1,0,2,0,2,2,1,0,0,toxic
0,1,0,1,0,1,0,1,0,2,1,1,toxic
0,0,0,0,0,1,1,0,1,2,2,1,toxic
0,0,0,0,1,2,0,3,0,0,1,1,toxic
1,0,0,0,0,2,0,3,1,0,1,0,toxic
0,0,0,1,0,1,0,2,0,0,3,1,toxic
0,0,0,0,1,2,1,2,0,1,1,0,toxic
0,0,0,0,0,3,0,2,0,1,0,2,toxic
0,1,0,0,0,1,0,2,0,1,1,2,toxic
0,0,0,0,0,3,1,0,1,1,2,0,toxic
0,1,0,1,0,1,0,2,1,2,0,0,toxic
0,0,0,0,0,1,0,1,3,1,2,0,toxic
0,0,0,1,0,3,0,1,2,0,1,0,toxic
0,0,0,0,0,2,1,2,0,1,2,0,toxic
1,0,1,0,0,4,0,0,0,0,1,1,toxic
0,0,0,1,0,1,0,1,0,0,4,1,toxic
0,0,0,0,0,3,0,1,1,0,2,1,toxic
1,1,0,0,0,2,0,1,0,0,3,0,toxic
0,0,0,0,0,3,1,0,1,0,2,1,toxic
0,0,0,0,1,2,0,0,2,1,1,1,toxic
0,0,0,0,0,1,1,2,0,2,2,0,toxic
0,0,0,0,0,1,0,2,2,1,2,0,toxic
1,0,0,0,0,1,0,0,1,1,2,2,toxic
0,1,0,0,0,2,0,0,1,1,3,0,toxic
0,1,0,0,0,4,1,0,0,0,1,1,toxic
0,0,0,0,0,2,0,1,1,0,2,2,toxic
0,0,0,0,0,2,0,1,0,1,4,0,toxic
0,0,0,0,0,2,1,2,1,0,1,1,toxic
0,0,0,0,0,5,0,0,1,0,2,0,toxic
0,1,0,0,0,2,1,1,1,0,1,1,toxic
0,0,1,1,0,0,1,1,2,0,2,0,toxic
0,0,0,0,0,0,1,1,0,1,4,1,toxic
1,0,0,0,0,1,1,1,0,0,3,1,toxic
0,1,0,0,0,1,1,1,1,1,1,1,toxic
0,0,0,0,0,1,0,1,0,2,2,2,toxic
1,0,0,0,0,0,1,1,1,0,3,1,toxic
0,0,0,0,0,2,0,1,0,1,4,0,toxic
0,0,0,0,0,1,1,2,0,1,3,0,toxic
0,0,0,1,0,1,0,0,0,1,3,2,toxic
0,0,0,0,0,2,1,1,1,1,1,1,toxic
0,0,0,0,0,2,1,0,2,1,1,1,toxic
0,0,0,0,0,1,1,0,1,1,2,2,toxic
0,0,0,1,0,1,1,1,0,0,2,2,toxic
0,0,0,0,0,3,0,1,0,0,3,1,toxic
0,0,0,0,0,0,0,4,2,1,1,0,toxic
0,0,0,0,0,0,0,1,3,2,1,1,toxic
1,0,0,0,1,3,0,0,0,1,2,0,toxic
1,1,0,0,0,3,0,1,1,0,1,0,toxic
0,1,0,0,0,0,1,3,1,0,1,1,toxic
0,0,0,0,1,1,0,3,1,1,1,0,toxic
1,0,0,0,0,1,0,0,0,0,5,1,toxic
0,0,0,1,0,3,0,0,2,1,1,0,toxic
0,0,0,0,0,3,0,2,1,0,1,1,toxic
0,0,0,0,0,1,0,2,3,0,0,2,toxic
0,1,0,1,0,1,0,2,1,1,1,0,toxic
1,0,0,0,0,0,1,1,2,1,1,1,toxic
0,0,1,0,0,3,0,1,0,0,2,1,toxic
0,1,0,0,0,1,0,0,2,1,2,1,toxic
0,0,1,0,0,0,1,0,0,2,3,1,toxic
0,0,0,0,1,1,0,0,1,1,4,0,toxic
1,0,0,0,0,1,1,1,1,0,1,2,toxic
1,0,0,1,0,1,0,1,1,1,2,0,toxic
0,0,0,0,1,2,0,0,1,1,2,1,toxic
0,0,0,0,1,2,0,0,1,2,2,0,toxic
0,2,0,0,0,1,0,2,1,0,2,0,toxic
0,0,0,0,0,4,0,1,0,0,1,2,toxic
0,0,1,1,0,0,0,2,1,1,1,1,toxic
0,1,0,0,1,0,0,0,1,3,2,0,toxic
0,0,0,0,1,0,0,1,0,4,0,2,toxic
0,0,0,0,0,3,0,1,1,1,2,0,toxic
1,1,0,0,0,1,0,0,1,2,2,0,toxic
0,0,0,0,0,2,0,1,0,1,3,1,toxic
0,0,0,0,0,4,0,2,1,0,1,0,toxic
0,0,0,0,0,0,1,4,1,0,2,0,toxic
0,0,0,0,0,0,1,4,1,0,2,0,toxic
1,0,0,0,0,1,0,2,0,0,4,0,toxic
0,0,1,1,0,0,0,3,1,2,0,0,toxic
0,1,0,0,0,0,1,0,3,0,2,1,toxic
0,0,0,0,0,3,1,0,0,2,1,1,toxic
0,0,0,0,0,2,1,1,1,2,1,0,toxic
0,0,0,0,0,2,0,1,0,1,3,1,toxic
0,0,1,0,0,2,0,0,0,2,2,1,toxic
1,0,0,0,0,3,0,0,1,0,3,0,toxic
1,0,0,0,0,1,0,2,2,1,1,0,toxic
1,0,0,1,0,1,0,0,1,3,0,1,toxic
0,0,0,0,1,2,0,0,0,0,4,1,toxic
1,1,0,0,0,1,0,1,2,0,1,1,toxic
0,0,0,1,1,1,0,0,3,0,2,0,toxic
0,0,0,1,0,1,0,1,0,2,3,0,toxic
0,0,0,0,0,1,1,1,0,2,1,2,toxic
0,0,0,0,1,2,0,0,1,1,2,1,toxic
0,1,0,0,0,1,0,0,1,3,2,0,toxic
1,1,0,0,0,0,0,2,0,1,2,1,toxic
0,0,0,2,0,0,0,1,2,2,1,0,toxic
0,0,0,0,0,1,0,0,1,1,4,1,toxic
0,0,0,0,0,2,0,3,0,0,3,0,toxic
0,0,0,0,0,1,1,0,0,0,3,3,toxic
1,0,1,0,0,0,0,0,1,1,4,0,toxic
0,0,0,0,0,0,1,0,0,1,6,0,toxic
1,0,0,1,0,0,0,1,2,2,0,1,toxic
0,0,1,0,0,1,0,3,0,0,3,0,toxic
0,0,0,0,0,1,1,2,0,3,1,0,toxic
0,1,0,0,0,4,0,0,2,1,0,0,toxic
0,0,0,0,0,1,0,1,1,0,2,3,toxic
1,1,0,0,0,1,0,1,2,0,0,2,toxic
0,0,0,0,0,1,1,1,0,3,1,1,toxic
0,0,0,0,0,2,0,0,0,1,3,2,toxic
0,2,0,0,0,0,1,1,1,0,2,1,toxic
1,0,0,0,0,3,1,0,1,1,1,0,toxic
0,1,0,1,0,0,0,1,3,2,0,0,toxic
2,0,0,0,0,4,1,0,0,0,1,0,toxic
0,1,2,0,0,2,0,1,1,0,0,1,toxic
0,0,0,0,0,1,1,2,0,1,1,2,toxic
0,1,0,0,0,1,0,0,0,1,4,1,toxic
0,0,1,0,0,1,0,2,1,0,3,0,toxic
0,0,1,0,0,1,1,1,1,2,1,0,toxic
1,0,0,0,0,1,0,2,1,2,1,0,toxic
1,0,0,0,0,0,0,2,1,0,3,1,toxic
0,0,0,0,0,1,1,0,2,1,1,2,toxic
0,0,0,0,0,0,0,2,1,2,2,1,toxic
0,0,0,0,0,2,0,0,1,1,2,2,toxic
0,0,0,0,0,2,2,1,2,0,0,1,toxic
0,0,0,0,1,2,0,2,1,1,1,0,toxic
0,0,0,0,1,0,0,0,0,0,4,3,toxic
0,0,0,0,1,0,0,0,1,0,6,0,toxic
1,1,0,0,0,0,0,1,1,2,1,1,toxic
0,0,0,0,0,1,0,0,2,2,3,0,toxic
0,0,0,1,0,2,0,1,0,1,0,3,toxic
0,0,0,1,0,3,0,1,1,0,2,0,toxic
0,0,0,1,1,4,0,0,1,0,0,1,toxic
1,1,0,0,0,2,0,0,1,0,2,1,toxic
0,0,1,0,1,1,1,2,0,0,0,2,toxic
1,0,0,1,0,1,0,2,1,1,1,0,toxic
0,1,0,0,0,2,1,0,0,0,3,1,toxic
0,1,0,1,0,0,0,0,2,2,1,1,toxic
0,0,0,1,0,1,0,1,0,1,1,3,toxic
0,0,1,0,0,2,0,0,1,1,2,1,toxic
0,0,0,0,0,3,0,1,0,3,0,1,toxic
0,0,0,0,1,2,0,2,0,0,3,0,toxic
0,0,0,0,0,1,1,1,1,0,2,2,toxic
1,0,0,1,0,1,0,1,2,0,1,1,toxic
1,0,0,0,0,1,0,4,0,0,0,2,toxic
0,0,1,0,0,1,0,2,1,0,2,1,toxic
0,0,1,0,0,1,0,1,1,0,3,1,toxic
1,0,0,1,0,0,1,1,2,1,1,0,toxic
2,0,0,0,0,3,0,0,1,0,2,0,toxic
0,0,0,0,0,1,1,3,1,1,1,0,toxic
0,0,0,1,0,1,0,2,0,1,2,1,toxic
1,1,0,0,0,1,0,0,1,0,3,1,toxic
1,0,0,0,0,2,0,1,0,2,1,1,toxic
0,0,0,0,0,1,0,2,1,0,2,2,toxic
1,1,0,0,0,1,0,3,1,0,1,0,toxic
0,0,0,0,0,0,1,1,1,1,4,0,toxic
1,0,0,0,1,0,1,0,1,2,2,0,toxic
1,0,0,0,0,0,1,2,0,2,1,1,toxic
0,0,0,2,0,1,0,0,0,0,4,1,toxic
0,1,0,0,0,1,0,1,0,0,3,2,toxic
0,0,0,0,0,2,0,0,0,2,4,0,toxic
0,0,0,0,1,1,0,0,0,2,4,0,toxic
0,0,0,1,0,0,0,2,0,2,2,1,toxic
